Gene_name,lof_hc_lc.obs,lof_hc_lc.oe,lof_hc_lc.mu,lof_hc_lc.pLI,lof_hc_lc.pNull,lof_hc_lc.pRec,mis.z_raw,syn.oe,syn.z_raw
ABCG2,1056.0,16.4967,1.790806e-05,1.81934e-06,14.03711,0.9628962,16.8042486,13.05543,27.5474
ABCG4,281.0,4.57621,5.58664e-06,0.206501367,0.03249426,8.76102,77.9495,8.002559999999999,17.3571
ABCG5,486.0,9.72635,8.73733e-06,2.99232268938327e-10,7.0182199999999995,2.98178,-25.51022,11.8278,-28.5738
ABCG8,460.0,6.6055,5.5328199999999995e-06,3.069000000000211e-17,5.819,0.1810009,-40.3559,7.281,-23.7964
ABHD1,435.0,12.04325,6.4139099999999995e-06,1.8695981011147236e-08,9.0378,1.962204,-8.981726929999999,13.5193,-4.33191
ABHD10,73.0,3.3357599999999996,2.76709e-06,0.010602696,0.363872,4.62552,7.952918,7.5484,-4.53465
ABHD11,322.0,12.66714,7.80287e-06,1.56386561e-05,4.39686,9.60313,29.6522,18.82806,-8.596444
ABHD12,533.0,16.93298,1.438652e-05,0.0816207552093399,3.50758,18.41081,6.33124,28.35171,-14.846074
ABHD12B,293.0,8.38121,3.8842899999999995e-06,7.345936e-09,3.871917,5.12808,-25.60519,13.02185,-13.944808
ABHD13,27.0,0.99171,1.31715e-06,2.57694,0.00089766,0.42216,17.823,2.78442,2.58069
ABHD14A,74.0,3.59596,1.351e-06,0.066152233,0.5960340000000001,4.33782,5.21253,4.82181,2.11798
ABHD14A-ACY1,218.0,3.78504,2.71744e-06,2.6982497277e-09,0.3896154,4.61038,13.80278,28.2794,-0.0649499999999996
ABHD14B,173.0,10.314,2.81822e-06,7.050463619999999e-06,5.51062,3.48937,15.75667,6.93959,22.3251
ABHD15,68.0,2.2216,1.39074e-06,5.494e-13,1.65152,0.34848,-2.2624,2.2226,-3.7408
ABHD16A,188.0,2.21542,5.0564e-06,8.31918e-07,0.00025966,3.99974,3.3653200000000005,13.40718,-9.82988
ABHD16B,68.0,3.2256,7.3352e-07,3.4406e-16,1.97468,0.025318,-14.945,2.8684,-14.0244
ABHD17A,86.0,3.96842,2.45815e-06,1.47263726,0.1864811999999999,6.34087,33.3921,9.07922,-1.091191
ABHD17B,100.0,3.7053,6.3229e-06,8.677769999999999,0.0064636799999999,2.315756,79.8464,10.86891,1.49591
ABHD17C,38.0,2.1668,1.40211e-06,0.3495402999999999,0.185842,3.46462,22.2701,5.1238,-13.8935
ABHD18,732.0,24.88611,3.2450561e-05,0.155333746217,3.2191959999999997,29.62547,36.94966,35.9338,-12.38948
ABHD2,295.0,7.80609,6.619207e-06,0.6679345,0.52620472,13.80584,96.2635,13.94516,14.29042
ABHD3,410.0,11.81848,6.97416e-06,0.1101427738682047,5.83547,7.05439,13.40829,13.9051,-2.34495
ABHD4,138.0,5.39808,4.19208e-06,0.00018462657132,1.2867730000000002,4.71304,29.727,8.29529,6.27664
ABHD5,229.0,6.96218,6.50114e-06,0.7129903749300001,0.4608442,9.82615,7.8397700000000015,21.35162,-17.076928
ABHD6,202.0,6.25847,3.38822e-06,0.000276602208,0.96998,7.02974,26.7001,7.72306,14.81782
ABHD8,29.0,1.28411,1.53792e-06,1.86004,0.0569777999999999,2.08299,1.3295,4.177099999999999,-2.01599
ABI1,349.0,7.67134,2.83533e-05,33.99279,6.69407596e-07,0.007224565,247.0236,31.14008,40.811072
ABI2,1699.0,42.65377,6.567251e-05,46.9113801,0.0701150056,60.018519,553.3860999999999,105.16768,129.86416
ABI3,189.0,7.12137,3.89516e-06,0.017839470912,1.397958,7.584210000000001,-11.3317,9.9066,-12.09057
ABI3BP,8808.0,61.51653,8.630894100000001e-05,0.308958140300694,9.795545,65.8955,79.370535,78.47308,-2.208315
ABITRAM,64.0,4.365,1.15455e-06,0.00149915,1.088166,3.91033,2.52613,4.52194,3.2959400000000003
ABL1,48.0,0.79602,3.794249e-06,4.45643,0.044711,0.4988600000000106,48.06783,5.1112,-1.7538
ABL2,795.0,8.08107,2.68655e-05,0.2007714,0.000102347116,17.79911,134.1228,17.560200000000002,10.655104
ABLIM1,1972.0,24.81926,6.156033e-05,42.355962,0.011888268070134,21.6321194,316.3909,60.59891,51.63115
ABLIM2,2752.0,35.10554,8.051843000000001e-05,0.0318001177523334,0.02860592,59.93962,54.52761,63.3883,-59.6553819
ABLIM3,1033.0,11.52625,2.414719e-05,0.008873153376642,0.0266215763,20.96451,85.4258,19.58239,39.18614
ABO,98.0,4.8579,1.8273258e-06,0.118580000113911,1.68253,2.1989,-2.27818,4.7109000000000005,-3.2714600000000003
ABR,813.0,11.37954,3.296513e-05,28.515680602,0.3315381533606645,4.15276742,248.45086,37.16387,-30.755669
ABRA,75.0,2.13342,2.0703900000000003e-06,2.70951e-06,0.154344,2.84565,2.2701599999999997,3.1041,-1.41996
ABRACL,26.0,3.3101,8.18864e-07,0.0303334,0.8291599999999999,3.14054,0.57136,3.42769,3.55898
ABRAXAS1,101.0,7.06761,3.563776e-06,0.09740998,1.138588,7.76399,3.2958999999999996,9.98223,6.024700000000001
ABRAXAS2,44.0,1.6420400000000002,1.45908e-06,1.2764799999999998,0.016812,2.7066999999999997,12.2024,3.22766,8.8842
ABT1,32.0,1.4118,6.0684e-07,0.00021384,0.170044,1.82974,-2.952,2.1622,-1.99856
ABTB1,472.0,9.33099,8.49185e-06,7.231723192499999e-06,0.499903,12.5001,14.94911,17.5612,-18.11019
ABTB2,112.0,1.17308,1.90196e-06,6.8242e-10,0.000104836,1.9999,3.6242,2.1014,-2.4362
ACAA1,348.0,8.79928,5.33824e-06,7.6826887322e-08,3.38627,6.61373,7.42095,16.5792,-15.861634
ACAA2,141.0,5.69272,2.6214e-06,0.0402238481105999,1.28256,5.6772100000000005,6.51307,5.6973,10.99704
ACACA,1481.0,8.82467,4.120558e-05,18.8429191,0.7077279,3.449360000487641,519.32512,23.46516,82.64803
ACACB,1823.0,8.83576,2.3856706999999997e-05,0.045347,0.2352587729999999,11.71939,89.74852,12.30135,44.16226
ACAD10,596.0,9.78703,8.063795e-06,0.022932864888,5.18061,4.79646,26.59045,9.12454,13.334093
ACAD11,168.0,2.60183,2.36551e-06,4.293876e-15,0.8979,2.1021,7.0752,4.94148,0.6203778
ACAD8,592.0,12.74462,1.365608e-05,1.08253699805e-07,3.937614,11.06239,32.50955,16.9491,6.787313999999999
ACAD9,391.0,6.37052,7.42692e-06,0.000641540037046,0.2831889999999999,8.71618,47.9901,24.97563,7.26404
ACADL,146.0,3.67884,2.35545e-06,4.5615486616e-08,1.90285,2.09715,9.6595,3.42834,6.6877
ACADM,429.0,9.87798,8.57287e-06,7.00949035e-08,2.122907,9.8771,17.7850212,52.56068,-24.525455
ACADS,118.0,2.69418,2.6691e-06,6.774756e-06,0.1074044,3.8926,7.259199999999999,3.99274,0.105576
ACADSB,105.0,2.49719,2.1766e-06,0.00029912458,0.0483217,3.95139,0.4224799999999999,3.58734,5.1747
ACADVL,917.0,14.07914,1.366662e-05,3.65490370000009e-06,6.263801,9.7362,4.546509,23.38499,-44.79237
ACAN,485.0,3.98638,1.74327e-05,11.0016118,0.144380000044992,0.8540112322528,9.02323,11.88176,0.0832479999999999
ACAP1,148.0,1.96917,5.81197e-06,1.51414489,0.0013798286999999,3.484474,29.3818,4.44496,6.10288
ACAP2,346.0,5.73881,1.879684e-05,15.190247,0.1556945129947954,1.654046775,127.65996,16.93551,29.89727
ACAP3,585.0,7.41307,1.013728e-05,2.8201923e-10,0.32356066,10.67644,-63.17972,16.8212,-95.79391
ACAT1,420.0,12.54299,1.098423e-05,0.132999964,0.2919858,22.57503,75.26773,27.72026,-1.7488200000000005
ACAT2,76.0,2.18643,1.59637e-06,3.675494e-06,0.207882,2.79211,7.2287,2.74314,3.2922
ACBD3,58.0,0.92924,1.58568e-06,0.0113194,0.000143484,1.98854,6.111,2.3042,-4.7254
ACBD4,1302.0,27.65046,2.45696e-05,2.669760978155e-05,2.808246,34.19169,54.34792,37.31453,6.403635
ACBD5,2312.0,40.3139,4.520668e-05,0.02355435123,0.13535564,70.84104,313.2877,71.72492,31.661257
ACBD6,60.0,2.1108599999999997,1.4692299999999998e-06,4.509e-05,0.194667,2.80528,1.2853845,3.32602,7.315
ACBD7,22.0,1.842,3.2714e-07,0.00037052,0.552,1.44764,-0.95192,2.372,-2.2134
ACCS,622.0,12.19692,1.046757e-05,0.0118125522676249,0.6974864000000001,16.29069,32.16674,15.63653,16.88438
ACCSL,154.0,2.45215,1.84824e-06,1.3731559999999997e-13,0.39953,2.60047,12.7575,3.75956,3.48909
ACD,310.0,5.86632,3.63873e-06,4.22022190334e-06,0.354979,7.645,16.360155,9.74067,-12.06711
ACE,1007.0,9.62364,1.592498e-05,0.0009909732843112,0.2371138,12.76191,-6.32607,20.92889,-22.3169823
ACER1,86.0,2.96799,8.9704e-07,4.785233e-08,1.65116,1.34884,1.57786,2.9465399999999997,0.60092
ACER2,125.0,4.97284,2.55028e-06,0.0002773065649999,1.254714,4.745010000000001,-3.35014,6.2627299999999995,-2.82309
ACER3,68.0,6.25745,2.292864e-06,4.880944,0.6793648999999999,9.43973,32.4567,36.35883,-22.63199
ACHE,299.0,7.20623,1.5763698e-05,9.53214,0.2038875182,8.264021,116.5587,24.8788,-37.31044
ACIN1,335.0,3.307696,4.684676e-05,20.62487,0.0011728,0.373950001796588,136.90217,20.74945,33.81815
ACKR1,94.0,4.0842,1.35391e-06,2.922476e-05,0.92863,4.07137,-5.11868,5.5076,-7.0022
ACKR2,109.0,7.1563799999999995,9.59591e-07,0.008644516569,3.05045,3.9409,9.62477,7.6266,-5.95007
ACKR3,40.0,1.70979,1.34667e-06,5.51955,0.005112155,0.475325,25.9456,5.79511,2.80588
ACKR4,33.0,1.63764,9.3756e-07,0.04518,0.098089,2.85672,30.626700000000003,1.722,14.58273
ACLY,458.0,4.26391,2.270647e-05,12.20289,0.0136307001866616,0.78349258181,132.7797,11.34312,35.04481
ACMSD,317.0,10.20698,5.84275e-06,3.4714452e-05,1.719376,11.28059,8.09573,11.76175,13.1511
ACO1,441.0,4.76441,9.2288e-06,1.03782e-13,0.0098735,6.99013,40.5363,6.17631,16.2883
ACO2,393.0,4.73734,1.242096e-05,12.0962,8.6498529e-07,0.9037933,207.19047,20.38451,24.91024
ACOD1,62.0,2.12262,1.09627e-06,3.03078e-05,0.19382,2.80615,8.3973,2.35077,9.5723
ACOT1,26.0,2.8781,9.321e-07,2.103314,0.3410959999999999,4.5556,55.9897,2.00187,39.4122
ACOT11,268.0,3.59788,3.95842e-06,2.5059599999999996e-20,2.13474,1.86526,8.2772,3.48442,9.0088
ACOT12,439.0,7.45607,1.090532e-05,1.63101782644e-06,0.548952,9.45106,-11.534081,10.52817,-6.229150000000001
ACOT13,36.0,3.14898,1.13832e-06,0.0130032599999999,0.74026,3.24674,3.67584,3.44696,4.28062
ACOT2,72.0,3.56675,1.52698e-06,0.061285253,0.574641,4.3640799999999995,3.53262,6.67377,-9.09444
ACOT4,56.0,2.011,8.9692e-07,5.3898e-10,1.1385,0.8615,0.3224,2.0032,-0.043424
ACOT6,85.0,5.24358,1.20037e-06,0.00906635842,1.71197,4.27896,12.5852,5.24844,6.0074000000000005
ACOT7,117.0,2.97139,4.92255e-06,10.92875,9.8136246e-06,0.07124809,94.5783,12.9573,0.4551899999999999
ACOT8,185.0,6.47826,6.058919999999999e-06,0.03572461929424,1.44119,6.52309,27.262679,12.15905,10.126244
ACOX1,309.0,6.10085,9.11294e-06,0.28996810002,0.41854049,10.29152,75.31370000000001,13.54247,8.04716
ACOX2,439.0,5.85828,4.61195e-06,6.0245000473892664e-05,0.1902306,7.80971,24.39808,9.46544,19.5972
ACOX3,1151.0,15.24379,1.620889e-05,0.00029963,9.40319,7.596509999999999,-0.1154199999999997,17.00611,-2.1731100000000003
ACOXL,1940.0,32.76787,2.554185e-05,0.0596879125667768,24.896678,9.043636,72.71258,32.17719,44.64534
ACP1,147.0,9.7241,3.11856e-06,1.8535332e-06,5.10198,2.89802,-5.0969299999999995,14.081,-13.6497
ACP2,414.0,8.82543,6.6849e-06,0.00044818629,0.4377505,13.5618,52.6891,14.63996,18.43324
ACP3,231.0,7.77282,5.38687e-06,0.007827152356,1.236484,8.755700000000001,9.81127,9.25173,8.03404
ACP4,100.0,2.2324,1.38466e-06,5.5256e-19,1.90102,0.098986,-3.9954,2.4574,-7.1348
ACP5,280.0,13.43297,6.731586e-06,0.4373869284,2.70201,13.86061,56.52611,15.19064,26.45511
ACP6,382.0,11.72199,4.57968e-06,0.0002135659206121,7.87729,3.122499,12.300483,10.36502,18.26824
ACP7,486.0,9.10852,1.029328e-05,4.24465619968e-11,4.93604,5.06396,12.7139996,10.61539,5.50244
ACR,62.0,1.91871,2.12314e-06,0.00633406,0.09511,2.89856,9.6803,2.79859,2.28488
ACRBP,196.0,3.73458,4.33148e-06,0.0002789303465639,0.4014329999999999,4.5982899999999995,14.77387,6.32046,-2.4882359999999997
ACRV1,126.0,4.18458,2.72524e-06,0.1258718,0.0820728,7.79204,14.2194,6.69468,13.1574
ACSBG1,322.0,5.12166,7.9419e-06,0.4271106,0.0643596241999999,10.50854,50.577616,14.35533,-1.59495
ACSBG2,912.0,15.02494,1.557483e-05,0.089988310707252,2.436269,16.47377,69.64086,24.06645,-3.394342
ACSF2,626.0,9.19861,1.475678e-05,8.1720778776e-07,0.3378311,12.66216,53.80056,17.663240000000002,12.37036
ACSF3,1442.0,38.0962,2.0490688e-05,0.0457135199793242,23.96015,1.994159672,-100.08621,33.01547,-82.59566
ACSL1,1027.0,11.60627,3.713377e-05,5.051342652,0.002482215067,22.946246,160.25072,26.87006,35.1422
ACSL3,579.0,9.2092,2.145852e-05,0.4062532,0.170119724,19.42364,151.32271,26.79207,3.215276
ACSL5,425.0,4.81155,7.65003e-06,6.27545e-06,0.0002145479999999,8.9998,31.9826,9.04633,18.17063
ACSL6,1017.0,11.94505,2.614809e-05,0.7927081411,0.08255689219,24.12473,153.1926,31.03697,-3.697142
ACSM1,868.0,16.51294,1.167565e-05,3.819251223368465e-09,13.48906,2.5109209999999997,34.11924,17.01516,0.1231070000000001
ACSM2A,833.0,15.25631,1.762237e-05,0.0034979906000024,12.01595,2.980547,2.6658790000000003,15.84366,1.014798
ACSM2B,590.0,11.85057,1.769082e-05,0.1103521155229117,1.296,14.59366,5.58933,17.01901,-3.00437
ACSM3,704.0,14.20271,1.49090115e-05,0.4218147313089918,3.019328,14.55888,44.10851,14.39087,36.22847
ACSM4,130.0,1.7351,2.3656e-06,2.5524e-19,0.67214,1.32786,6.2826,1.7001,4.8356
ACSM5,271.0,5.879,4.849176e-06,0.0166973504000013,1.310714,5.6726,1.653108,8.013259999999999,-0.302285
ACSM6,105.0,2.06733,1.71807e-06,3.2216999999999997e-08,0.052413,2.94759,14.2807,4.0374,10.59145
ACSS1,358.0,5.7964,9.11694e-06,0.009569601685,0.08923723,9.9012,42.6816,10.36965,-3.79679
ACSS2,806.0,11.9158,1.983147e-05,0.005932439879779,0.35558192,18.63847,73.80209500000001,22.93462,24.6156
ACSS3,303.0,5.47331,5.386756e-06,0.0018219001626076,0.467035,6.53113,16.8044,8.01509,-1.414218
ACTA1,99.0,2.70987,1.7046e-06,0.00018170349,0.157092,3.84272,65.009,3.63305,5.4968
ACTA2,64.0,1.94949,2.58095e-06,4.80072,0.01998783714,1.1793077,66.5958,5.21674,10.4293
ACTB,48.0,2.842785,5.178083e-06,13.40079,0.207091819201032,2.39214150686,291.3185,26.836,-102.0578
ACTBL2,60.0,2.4008,7.8954e-07,3.627e-12,1.71978,0.28022,-0.62348,1.78306,3.0222
ACTC1,24.0,0.69972,6.5894e-07,1.67978,0.0002416,0.31996,34.626,2.0014,-0.020354
ACTG1,236.0,6.49812,5.8662199999999995e-06,0.8691269,0.03179403,13.09913,260.8202,38.5048,-256.8015
ACTG2,101.0,3.59226,3.90942e-06,0.2612154,0.2216601,6.5171,78.7393,9.1314,-0.0548229999999999
ACTL10,42.0,3.5974,3.4352e-07,1.45874e-10,1.86122,0.138776,-8.1284,2.2942,-3.6856
ACTL6A,27.0,0.997504,2.85197e-06,6.34356,0.0496070004928021,0.606832574522,65.4271,6.54068,13.215
ACTL6B,104.0,2.1465,2.67145e-06,0.0111000000018368,0.1698319999999999,2.81906,21.7974,2.90818,0.18916
ACTL7A,54.0,1.71472,7.8914e-07,1.9947e-08,0.4842,1.5158,2.855,2.0332,-0.5285
ACTL7B,42.0,1.98784,4.0338e-07,1.2832e-07,0.90868,1.09132,-3.3404,2.167,-2.6212
ACTL8,40.0,1.47176,2.2546e-06,2.54184,0.0044392,1.45372,21.8604,4.202,-2.9498
ACTL9,60.0,2.57763,9.606300000000002e-07,2.67789e-06,0.7143900000000001,2.28561,-4.5249,3.1731000000000003,-2.82999
ACTN1,967.0,9.98149,5.3515202e-05,39.24957,0.0628205257839999,0.6876229100132893,514.2706,36.14319,114.90954
ACTN2,273.0,2.71191,6.962741e-06,8.82099,0.0053604422043863,0.173671433,67.7731,11.63968,16.66194
ACTN3,358.0,3.0929,8.1172e-06,2.544034e-22,0.082143,3.91786,-5.592859999999999,5.44364,-0.0279
ACTN4,161.0,1.72674,9.00109e-06,9.74289,0.010923,0.2461900007255192,134.48866,10.28197,-1.5640960000000002
ACTR10,105.0,5.34269,3.29599e-06,0.007353778,1.012267,5.98037,-0.9726999999999996,17.50643,-11.12591
ACTR1A,29.0,0.59912,2.97947e-06,2.99995,3.9452e-10,3.89202e-05,41.9971,3.70798,3.86554
ACTR1B,130.0,2.80025,4.6689e-06,1.220013e-06,0.115793,3.88421,8.703199999999999,3.9755,0.3429689999999999
ACTR2,12.0,0.330852,3.3362e-06,4.0,1.666502e-10,7.42142e-06,54.228,7.30794,-0.0133999999999994
ACTR3,37.0,1.271,2.646127e-06,5.1504,0.0878109886,0.7617962,35.88192,6.91463,-1.13355
ACTR3B,117.0,3.236685,9.34503e-06,21.99899,1.4360327e-07,0.001025492,194.1768,18.29499,40.1696
ACTR3C,309.0,16.22981,7.25421e-06,0.649936116,2.494255,19.85581,51.51367,15.66028,60.25612
ACTR5,92.0,1.5428,1.42834e-06,2.3388e-12,0.114696,1.8853,-0.90754,2.198,-3.4312
ACTR6,112.0,3.94771,2.92421e-06,0.1602261769,0.326821,5.51296,34.3716,9.78084,3.538826
ACTR8,322.0,5.98012,6.21615e-06,0.0001116600015234,1.6851,5.31479,21.48103,6.8107,3.77128
ACTRT2,36.0,1.61114,3.9422e-07,1.42028e-05,0.34016,1.65982,3.0206,2.1808,-2.8014
ACTRT3,48.0,1.83232,4.1398e-07,4.8468e-08,0.69564,1.30436,3.3286,1.81054,2.5886
ACVR1,1026.0,20.2707,2.3358553e-05,0.05503594655654,1.2638252,26.68102,213.26708,25.81679,50.43588
ACVR1B,153.0,2.99033,9.95277e-06,11.91737,0.00087643774412,0.081771197,130.9444,11.38606,9.55793
ACVR1C,160.0,3.58784,7.91462e-06,0.599718,0.00782974,7.39244,40.2198,7.86452,1.968232
ACVR2A,42.0,0.74744,4.13676e-06,6.0,1.8474992e-13,1.989104e-07,76.23400000000001,5.31846,9.6144
